Right Hand
==============
     JOINT_RING_JT2)	X: 0.160060, Y: 0.024128, Z: 0.317898 
     JOINT_RING_TIP)	X: 0.155848, Y: 0.005055, Z: 0.313596 
     JOINT_PINKY_BASE)	X: 0.193254, Y: 0.038002, Z: 0.282753 
     JOINT_PINKY_JT1)	X: 0.177612, Y: 0.036095, Z: 0.316230 
     JOINT_PINKY_JT2)	X: 0.168930, Y: 0.022824, Z: 0.310106 
     JOINT_PINKY_TIP)	X: 0.161269, Y: 0.011115, Z: 0.304703 
Right Hand
==============
     JOINT_WRIST)	X: 0.151801, Y: -0.027542, Z: 0.293691 
     JOINT_CENTER)	X: 0.150702, Y: 0.013508, Z: 0.284875 
     JOINT_THUMB_BASE)	X: 0.132455, Y: -0.019796, Z: 0.289282 
     JOINT_THUMB_JT1)	X: 0.107807, Y: 0.002532, Z: 0.270901 
     JOINT_THUMB_JT2)	X: 0.089756, Y: 0.023892, Z: 0.287459 
     JOINT_THUMB_TIP)	X: 0.080521, Y: 0.043274, Z: 0.291243 
     JOINT_INDEX_BASE)	X: 0.124757, Y: 0.051468, Z: 0.273147 
     JOINT_INDEX_JT1)	X: 0.117186, Y: 0.049085, Z: 0.316425 
     JOINT_INDEX_JT2)	X: 0.115141, Y: 0.027403, Z: 0.313313 
     JOINT_INDEX_TIP)	X: 0.113283, Y: 0.007691, Z: 0.310484 
     JOINT_MIDDLE_BASE)	X: 0.149655, Y: 0.052603, Z: 0.276479 
     JOINT_MIDDLE_JT1)	X: 0.142462, Y: 0.049924, Z: 0.323862 
     JOINT_MIDDLE_JT2)	X: 0.142135, Y: 0.022158, Z: 0.320263 
     JOINT_MIDDLE_TIP)	X: 0.141902, Y: 0.002325, Z: 0.317693 
     JOINT_RING_BASE)	X: 0.170276, Y: 0.049113, Z: 0.280174 
     JOINT_RING_JT1)	X: 0.161932, Y: 0.046938, Z: 0.322300 
     JOINT_RING_JT2)	X: 0.158124, Y: 0.025543, Z: 0.318875 
     JOINT_RING_TIP)	X: 0.154662, Y: 0.006092, Z: 0.315761 
     JOINT_PINKY_BASE)	X: 0.194418, Y: 0.037346, Z: 0.286119 
     JOINT_PINKY_JT1)	X: 0.175351, Y: 0.038024, Z: 0.317820 
     JOINT_PINKY_JT2)	X: 0.167082, Y: 0.024466, Z: 0.311753 
     JOINT_PINKY_TIP)	X: 0.159787, Y: 0.012503, Z: 0.306400 
Right Hand
==============
     JOINT_WRIST)	X: 0.153606, Y: -0.022296, Z: 0.319118 
     JOINT_CENTER)	X: 0.155474, Y: 0.012680, Z: 0.295942 
     JOINT_THUMB_BASE)	X: 0.137522, Y: -0.019722, Z: 0.305395 
     JOINT_THUMB_JT1)	X: 0.121938, Y: -0.009147, Z: 0.272390 
     JOINT_THUMB_JT2)	X: 0.098432, Y: 0.013292, Z: 0.271969 
     JOINT_THUMB_TIP)	X: 0.088147, Y: 0.031051, Z: 0.264614 
     JOINT_INDEX_BASE)	X: 0.135792, Y: 0.039782, Z: 0.262330 
